shot,trigger_time,Laser energy,GDD,Jet 1 pressure,Jet 2 pressure,comment,TOD,spherical mirror
16,12:39:17,,,,,,,
17,12:45:10,264.34,29100,50,0,"GDD scan",-110000,59.05
18,12:47:10,264.34,29800,50,0,"GDD scan",-110000,59.05
19,12:49:11,271.41,29800,50,0,"GDD scan",-110000,59.05
20,12:52:10,268.78,28400,50,0,"GDD scan",-110000,59.05
21,12:54:10,266.6,28400,50,0,"GDD scan",-110000,59.05
22,12:57:10,265.24,28800,50,0,"GDD scan",-110000,59.05
23,12:59:10,264.34,28800,50,0,"GDD scan",-110000,59.05
24,13:02:10,265.60,28800,50,0,"GDD scan",-110000,59.05
25,13:05:10,267.42,28800,50,0,"z scan",-110000,59.05
26,13:06:10,268.05,28800,50,0,"z scan",-110000,59.05
27,13:14:10,260.62,28800,50,0,"z scan",-110000,59.05
28,13:16:10,,,,,,,
29,13:19:10,255.54,28800,50,0,"z scan",-110000,59.05
30,13:21:10,,,,,,,
31,13:23:10,286.45,28800,50,0,"z scan",-110000,59.05
32,13:28:10,281.29,28800,50,0,"z scan",-110000,59.05
33,13:33:10,,,,,,,
34,13:35:10,286.82,28800,50,0,"z scan",-110000,59.05
35,13:37:10,,,,,,,
36,13:39:10,278.93,28800,50,0,"z scan",-110000,59.05
37,13:41:10,285.64,28800,50,0,"z scan",-110000,59.05
38,13:43:10,,,,,,,
39,13:45:10,276.48,28800,50,0,"z scan",-110000,59.05
40,13:47:10,278.48,28800,50,0,"z scan",-110000,59.05
41,13:49:10,282.83,28800,50,0,"z scan",-110000,59.05
42,13:51:10,,,,,,,
43,13:53:10,277.21,28800,50,0,"z scan",-110000,59.05
44,13:56:10,278.39,28800,50,0,"X scan",-110000,59.05
45,13:58:10,278.39,28800,50,0,"X scan",-110000,59.05
46,14:00:10,,,,,,,
47,14:02:10,,,,,,,
48,14:04:10,275.58,28800,50,0,"X scan",-110000,59.05
49,14:06:10,276.21,28800,50,0,"X scan",-110000,59.05
50,14:30:10,229.71,28800,50,0,"PM in, on screen",-110000,59.05
51,14:31:09,,,,,,,
52,14:35:10,271.68,28800,50,0,"PM in, on screen",-110000,59.05
53,14:39:10,,,,,,,
54,14:41:10,,,,,,,
55,14:43:10,,,,,,,
56,14:46:10,,,,,,,
57,14:48:10,,,,,,,
58,14:51:09,,,,,,,
59,14:54:10,,,,,,,
60,14:57:10,,,,,,,
61,15:01:10,263.52,29200,50,0,"PM",-110000,59.05
62,15:03:10,,,,,,,
63,15:05:10,,,,,,,
64,15:08:10,269.14,29200,50,0,"PM",-110000,59.05
65,15:11:09,,,,,,,
66,15:13:09,,,,,,,
67,15:16:09,,,,,,,
68,15:19:09,,,,,,,
69,15:21:10,,,,,,,
70,15:27:10,275.76,29200,50,0,"PM out",-110000,59.05
71,15:29:09,,,,,,,
72,15:31:10,,,,,,,
73,15:33:10,261.89,29200,50,0,"PM out",-110000,59.05
74,15:35:09,261.07,29200,50,0,"PM out",-110000,59.05
75,15:38:10,261.07,29200,50,0,"PM out",-110000,59.05
76,15:40:10,257.72,29200,50,0,"PM out",-110000,59.05
77,15:42:09,,,,,,,
78,15:45:09,,,,,,,
79,15:47:09,,,,,,,
80,15:49:09,,,,,,,
81,15:51:09,,,,,,,
82,15:54:10,,,,,,,
83,15:57:09,,,,,,,
84,16:00:10,,,,,,,
85,16:04:10,253.09,29200,50,0,"PM out",-110000,59.05
86,16:06:09,258.08,29200,50,0,"PM out",-110000,59.05
87,16:08:09,,,,,,,
88,16:09:10,,,,,,,
89,16:12:10,,,,,,,
90,16:20:10,,,,,,,
91,16:22:09,,,,,,,
92,16:25:09,248.38,29200,50,0,"PM scan",-110000,59.05
93,16:28:09,,,,,,,
94,16:30:09,,,,,,,
95,16:32:09,,,,,,,
96,16:35:10,,,,,,,
97,16:38:09,,,,,,,
98,16:40:09,,,,,,,
99,16:45:09,,,,,,,
100,16:53:09,,,,,,,
101,17:35:09,246.84,29200,50,0,"PM scan",-110000,59.05
102,17:37:09,,,,,,,
103,17:39:09,,,,,,,
104,17:41:09,,,,,,,
105,17:44:09,247.75,29200,50,0,"PM scan",-110000,59.05
106,17:49:09,,,,,,,
107,17:51:09,253,29200,50,0,"PM scan",-110000,59.05
108,17:54:09,,,,,,,
109,17:56:09,255.45,29200,50,0,"PM scan",-110000,59.05
110,17:58:09,254.45,29200,50,0,"PM scan",-110000,59.05
111,18:01:09,,,,,,,
112,18:03:09,,,,,,,
113,18:05:09,,,,,,,
114,18:07:09,,,,,,,
115,18:11:09,,,,,,,
116,18:13:08,,,,,,,
117,18:16:08,,,,,,,
118,18:18:09,,,,,,,
119,18:20:08,,,,,,,
120,18:25:08,,,,,,,
121,18:40:09,,,,,,,
122,18:42:08,,,,,,,
123,18:44:09,247.29,29200,50,0,"jet2 scan",-110000,59.05
124,18:46:09,,,,,,,
125,18:48:08,,,,,,,
126,18:50:08,,,,,,,
127,18:51:09,,,,,,,
128,18:53:08,,,,,,,
129,18:56:08,,,,,,,
130,18:58:08,,,,,,,
131,19:00:08,,,,,,,
132,19:02:08,,,,,,,
